datetime,pm25
2377,2021-05-01,39.0
2378,2021-05-02,39.0
2379,2021-05-03,41.0
2380,2021-05-04,31.0
2381,2021-05-05,23.0
2382,2021-05-06,31.0
2383,2021-05-07,20.0
2384,2021-05-08,25.0
2385,2021-05-09,17.0
2386,2021-05-10,17.0
2387,2021-05-11,8.0
2388,2021-05-12,18.0
2389,2021-05-13,10.0
2390,2021-05-14,15.0
2391,2021-05-15,16.0
2392,2021-05-16,28.0
2393,2021-05-17,15.0
2394,2021-05-18,26.0
2395,2021-05-19,11.0
2396,2021-05-20,14.0
2397,2021-05-21,23.0
2398,2021-05-22,15.0
2399,2021-05-23,10.0
2400,2021-05-24,18.0
2401,2021-05-25,22.0
2402,2021-05-26,25.0
2403,2021-05-27,26.0
2404,2021-05-28,27.0
2405,2021-05-29,27.0
2406,2021-05-30,18.0
2407,2021-05-31,32.0
2408,2021-06-01,28.0
2409,2021-06-02,28.0
2410,2021-06-03,41.0
2411,2021-06-04,35.0
2412,2021-06-05,8.0
2413,2021-06-06,11.0
2414,2021-06-07,20.0
2415,2021-06-08,37.0
2416,2021-06-09,50.0
2417,2021-06-10,43.0
2418,2021-06-11,52.0
2419,2021-06-12,36.0
2420,2021-06-13,24.0
2421,2021-06-14,33.0
2422,2021-06-15,34.0
2423,2021-06-16,45.0
2424,2021-06-17,49.0
2425,2021-06-18,55.0
2426,2021-06-19,61.0
2427,2021-06-20,49.0
2428,2021-06-21,43.0
2429,2021-06-22,19.0
2430,2021-06-23,16.0
2431,2021-06-24,17.0
2432,2021-06-25,31.0
2433,2021-06-26,33.0
2434,2021-06-27,31.0
2435,2021-06-28,29.0
2437,2021-06-29,17.0
2439,2021-06-30,15.0
2441,2021-07-01,21.0
2443,2021-07-02,31.0
2445,2021-07-03,38.0
2447,2021-07-04,39.0
2449,2021-07-05,17.0
2450,2021-07-06,23.0
2451,2021-07-07,33.0
2452,2021-07-08,17.0
2453,2021-07-09,21.0
2454,2021-07-10,23.0
2455,2021-07-11,25.0
2456,2021-07-12,26.0
2457,2021-07-13,16.0
2458,2021-07-14,20.0
2459,2021-07-15,38.0
2460,2021-07-16,25.0
2461,2021-07-17,43.0
2462,2021-07-18,52.0
2463,2021-07-19,44.0
2464,2021-07-20,51.0
2465,2021-07-21,59.0
2466,2021-07-22,56.0
2467,2021-07-23,56.0
2468,2021-07-24,36.0
2469,2021-07-25,23.0
2470,2021-07-26,33.0
2471,2021-07-27,35.0
2472,2021-07-28,41.0
2473,2021-07-29,31.0
2474,2021-07-30,47.0
2475,2021-07-31,23.0
2476,2021-08-01,22.0
2477,2021-08-02,18.0
2478,2021-08-03,23.0
2479,2021-08-04,36.0
2480,2021-08-05,17.0
2481,2021-08-06,19.0
2482,2021-08-07,21.0
2483,2021-08-08,15.0
2484,2021-08-09,18.0
2485,2021-08-10,30.0
2486,2021-08-11,45.0
2487,2021-08-12,52.0
2488,2021-08-13,56.0
2489,2021-08-14,64.0
2490,2021-08-15,71.0
2491,2021-08-16,29.0
2492,2021-08-17,50.0
2493,2021-08-18,33.0
2494,2021-08-19,17.0
2495,2021-08-20,25.0
2496,2021-08-21,29.0
2497,2021-08-22,20.0
2498,2021-08-23,18.0
2499,2021-08-24,25.0
2500,2021-08-25,31.0
2501,2021-08-26,35.0
2502,2021-08-27,25.0
2503,2021-08-28,20.0
2504,2021-08-29,18.0
2505,2021-08-30,21.0
2506,2021-08-31,31.0
2507,2021-09-01,36.0
2508,2021-09-02,40.0
2509,2021-09-03,36.0
2510,2021-09-04,43.0
2511,2021-09-05,41.0
2512,2021-09-06,38.0
2513,2021-09-07,40.0
2514,2021-09-08,33.0
2515,2021-09-09,49.0
2516,2021-09-10,60.0
2517,2021-09-11,38.0
2518,2021-09-12,24.0
2519,2021-09-13,25.0
2520,2021-09-14,30.0
2521,2021-09-15,33.0
2522,2021-09-16,32.0
2523,2021-09-17,30.0
2524,2021-09-18,28.0
2525,2021-09-19,7.0
2526,2021-09-20,9.0
2527,2021-09-21,26.0
2528,2021-09-22,47.0
2529,2021-09-23,53.0
2530,2021-09-24,55.0
2531,2021-09-25,51.0
2532,2021-09-26,45.0
2533,2021-09-27,35.0
2535,2021-09-28,16.0
2537,2021-09-29,19.0
2539,2021-09-30,15.0
2541,2021-10-01,29.0
2543,2021-10-02,34.0
2545,2021-10-03,31.0
2547,2021-10-25,
2548,2021-10-26,
2549,2021-10-27,
2550,2021-10-28,
2551,2021-10-29,
2552,2021-10-30,17.0
2553,2021-10-31,8.0
2726,2021-10-12,
3101,2021-10-15,
3102,2021-10-20,
3232,2021-10-07,
3694,2021-10-16,
3838,2021-10-11,
3839,2021-10-17,
3840,2021-10-18,
3960,2021-10-04,
3961,2021-10-09,
3962,2021-10-21,
4109,2021-10-19,
4376,2021-10-10,
4377,2021-10-23,
4515,2021-10-13,
4516,2021-10-14,
4661,2021-10-05,
4662,2021-10-08,
4663,2021-10-24,
4827,2021-10-06,
4828,2021-10-22,
